id,name,terminalName,lastCommWithServer,lat,long,installed,installDate,removalDate,temporary,public,capacity
140,Clarendon Metro / Wilson Blvd & N Highland St,31022,1.36837E+12,38.88786,-77.094875,TRUE,1.32198E+12,,FALSE,TRUE,17
141,18th St & Pennsylvania Ave NW,31242,1.36837E+12,38.89968,-77.041539,TRUE,1.32257E+12,,FALSE,TRUE,15
142,Maryland & Independence Ave SW,31243,1.36837E+12,38.887299,-77.018939,TRUE,1.32767E+12,,FALSE,TRUE,39
143,4th & E St SW,31244,1.36837E+12,38.88412,-77.017445,TRUE,1.32276E+12,,FALSE,TRUE,19
144,3rd & G St SE,31625,1.36837E+12,38.881185,-77.001828,TRUE,1.32266E+12,,FALSE,TRUE,19
145,7th & R St NW / Shaw Library,31245,1.36837E+12,38.912719,-77.022155,TRUE,1.32258E+12,,FALSE,TRUE,15
146,9th & Upshur St NW,31404,1.36837E+12,38.9418,-77.0251,TRUE,1.32319E+12,,FALSE,TRUE,15
147,1st & Rhode Island Ave NW,31506,1.36837E+12,38.915417,-77.012289,TRUE,1.32318E+12,,FALSE,TRUE,15
148,Columbia Rd & Georgia Ave NW,31115,1.36837E+12,38.928156,-77.02344,TRUE,1.32323E+12,,FALSE,TRUE,19
149,California St & Florida Ave NW,31116,1.36837E+12,38.917761,-77.04062,TRUE,1.32375E+12,,FALSE,TRUE,19
150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,1.36837E+12,38.889935,-76.93723,TRUE,1.3244E+12,,FALSE,TRUE,19
151,3000 Connecticut Ave NW / National Zoo,31307,1.36837E+12,38.930282,-77.055599,TRUE,1.3245E+12,,FALSE,TRUE,15
152,Anacostia Ave & Benning Rd NE / River Terrace ,31708,1.36837E+12,38.896544,-76.96012,TRUE,1.3244E+12,,FALSE,TRUE,15
153,M St & Pennsylvania Ave NW,31246,1.36837E+12,38.905126,-77.056887,TRUE,1.32449E+12,,FALSE,TRUE,19
154,15th St & Massachusetts Ave SE,31626,1.36837E+12,38.88732,-76.983569,TRUE,1.32457E+12,,FALSE,TRUE,15
155,Congress Heights Metro,31806,1.36837E+12,38.844711,-76.987823,TRUE,1.32458E+12,,FALSE,TRUE,15
156,N Quincy St & Glebe Rd,31035,1.36837E+12,38.876393,-77.107735,TRUE,1.33555E+12,,FALSE,TRUE,11
157,Wilson Blvd & N Oakland St,31033,1.36837E+12,38.8815,-77.10396,TRUE,1.33539E+12,,FALSE,TRUE,11
158,N Veitch  & 20th St N,31029,1.36837E+12,38.896923,-77.086502,TRUE,1.33521E+12,,FALSE,TRUE,15
159,11th & K St NW,31263,1.36837E+12,38.90268,-77.02674,TRUE,1.36094E+12,,FALSE,TRUE,18
160,Fairfax Dr & Wilson Blvd,31023,1.36837E+12,38.885801,-77.097745,TRUE,1.33555E+12,,FALSE,TRUE,11
161,Key Blvd & N Quinn St,31027,1.36837E+12,38.896015,-77.078107,TRUE,1.3352E+12,,FALSE,TRUE,11
162,1st & K St SE,31628,1.36837E+12,38.87861,-77.006004,TRUE,1.32872E+12,,FALSE,TRUE,15
163,39th & Calvert St NW / Stoddert,31306,1.36837E+12,38.922649,-77.077271,TRUE,1.3289E+12,,FALSE,TRUE,19
164,1st & Washington Hospital Center NW,31507,1.36837E+12,38.928743,-77.012457,TRUE,1.32915E+12,,FALSE,TRUE,15
165,Virginia Square Metro / N Monroe St & 9th St N,31024,1.36837E+12,38.882788,-77.103148,TRUE,1.32951E+12,,FALSE,TRUE,19
166,Central Library / N Quincy St & 10th St N,31025,1.36837E+12,38.88397,-77.10783,TRUE,1.32949E+12,,FALSE,TRUE,11
167,Washington Blvd & 10th St N,31026,1.36837E+12,38.884734,-77.093485,TRUE,1.32994E+12,,FALSE,TRUE,15
168,Jefferson Dr & 14th St SW,31247,1.36837E+12,38.888553,-77.032429,TRUE,1.33191E+12,,FALSE,TRUE,22
169,Smithsonian / Jefferson Dr & 12th St SW,31248,1.36837E+12,38.888767,-77.02858,TRUE,1.33337E+12,,FALSE,TRUE,11
170,George Mason Dr & Wilson Blvd,31036,1.36837E+12,38.87887,-77.1207,TRUE,1.33581E+12,,FALSE,TRUE,15
171,6th St & Indiana Ave NW,31264,1.36837E+12,38.894573,-77.01994,TRUE,1.36499E+12,,FALSE,TRUE,18
172,N Veitch & Key Blvd,31028,1.36837E+12,38.893241,-77.086045,TRUE,1.3352E+12,,FALSE,TRUE,11
173,N Adams St & Lee Hwy,31030,1.36837E+12,38.89593,-77.089006,TRUE,1.33537E+12,,FALSE,TRUE,11
174,15th & N Scott St,31031,1.36837E+12,38.89054,-77.08095,TRUE,1.33536E+12,,FALSE,TRUE,11
175,Washington Blvd & 7th St N,31032,1.36837E+12,38.880834,-77.091129,TRUE,1.33579E+12,,FALSE,TRUE,11
176,Ballston Metro / N Stuart & 9th St N,31037,1.36837E+12,38.881044,-77.111768,TRUE,1.33582E+12,,FALSE,TRUE,19
177,N Randolph St & Fairfax Dr,31034,1.36837E+12,38.882629,-77.109366,TRUE,1.33554E+12,,FALSE,TRUE,11
178,Jefferson Memorial,31249,1.36837E+12,38.879819,-77.037413,TRUE,1.33597E+12,,FALSE,TRUE,23
179,Good Hope Rd & 14th St SE,31803,1.36837E+12,38.866611,-76.985238,TRUE,1.33598E+12,,FALSE,TRUE,15
180,Glebe Rd & 11th St N,31038,1.36837E+12,38.883921,-77.116817,TRUE,1.33727E+12,,FALSE,TRUE,11
181,N Quincy St & Wilson Blvd,31039,1.36837E+12,38.880151,-77.107673,TRUE,1.3383E+12,,FALSE,TRUE,11
182,Fairfax Dr & Kenmore St,31040,1.36837E+12,38.884616,-77.10108,TRUE,1.36681E+12,,FALSE,TRUE,11
183,Gallaudet / 8th St & Florida Ave NE,31508,1.36837E+12,38.90509,-76.9941,TRUE,1.34203E+12,,FALSE,TRUE,19
185,20th & L St NW,31250,1.36837E+12,38.903584,-77.044789,TRUE,1.34063E+12,,FALSE,TRUE,19
186,12th & L St NW,31251,1.36837E+12,38.903819,-77.0284,TRUE,1.34064E+12,,FALSE,TRUE,19
187,21st St & Pennsylvania Ave NW,31252,1.36837E+12,38.901539,-77.046564,TRUE,1.34081E+12,,FALSE,TRUE,19
188,19th & K St NW,31253,1.36837E+12,38.902204,-77.04337,TRUE,1.3408E+12,,FALSE,TRUE,23
189,Prince St & Union St,31041,1.36837E+12,38.803124,-77.040363,TRUE,1.34607E+12,,FALSE,TRUE,19
190,Market Square / King St & Royal St,31042,1.36837E+12,38.804718,-77.043363,TRUE,1.34608E+12,,FALSE,TRUE,15
191,Saint Asaph St & Pendleton  St,31043,1.36837E+12,38.810743,-77.044664,TRUE,1.34608E+12,,FALSE,TRUE,15
192,King St & Patrick St,31044,1.36837E+12,38.805317,-77.049883,TRUE,1.34644E+12,,FALSE,TRUE,15
193,15th & K St NW,31254,1.36837E+12,38.902,-77.03353,TRUE,1.34123E+12,,FALSE,TRUE,19
194,Commerce St & Fayette St,31045,1.36837E+12,38.805648,-77.05293,TRUE,1.34644E+12,,FALSE,TRUE,15
195,Henry St & Pendleton St,31046,1.36837E+12,38.811456,-77.050276,TRUE,1.34644E+12,,FALSE,TRUE,17
196,Braddock Rd Metro,31047,1.36837E+12,38.814577,-77.052808,TRUE,1.34644E+12,,FALSE,TRUE,19
197,King St Metro,31048,1.36837E+12,38.805767,-77.06072,TRUE,1.34644E+12,,FALSE,TRUE,19
198,24th & N St NW,31255,1.36837E+12,38.9066,-77.05152,TRUE,1.34158E+12,,FALSE,TRUE,13
199,10th & E St NW,31256,1.36837E+12,38.895914,-77.026064,TRUE,1.34211E+12,,FALSE,TRUE,15
200,22nd & I St NW / Foggy Bottom,31257,1.36837E+12,38.90088,-77.048911,TRUE,1.34244E+12,,FALSE,TRUE,14
201,Utah St & 11th St N ,31049,1.36837E+12,38.883669,-77.113905,TRUE,1.34254E+12,,FALSE,TRUE,11
202,Barton St & 10th St N,31050,1.36837E+12,38.884961,-77.08777,TRUE,1.34677E+12,,FALSE,TRUE,11
203,Arlington Blvd & N Queen St,31051,1.36837E+12,38.889365,-77.077294,TRUE,1.34678E+12,,FALSE,TRUE,11
204,Lincoln Memorial,31258,1.36837E+12,38.888251,-77.049426,TRUE,1.34927E+12,,FALSE,TRUE,25
206,20th St & Virginia Ave NW,31259,1.36837E+12,38.894722,-77.045128,TRUE,1.35965E+12,,FALSE,TRUE,14
207,I (eye) & Massachusetts Ave NW,31265,1.36837E+12,38.90093,-77.018677,TRUE,1.36784E+12,,FALSE,TRUE,18
208,39th & Veazey St NW,31308,1.36837E+12,38.943837,-77.077078,TRUE,1.3606E+12,,FALSE,TRUE,15
209,Fessenden St & Wisconsin Ave NW,31309,1.36837E+12,38.954812,-77.082426,TRUE,1.36059E+12,,FALSE,TRUE,15
210,M St & Delaware Ave NE,31627,1.36837E+12,38.905707,-77.003041,TRUE,1.36093E+12,,FALSE,TRUE,23
211,Columbia Pike & S Courthouse Rd,31053,1.36837E+12,38.863833,-77.080319,TRUE,1.36448E+12,,FALSE,TRUE,15
212,Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,1.36837E+12,38.857803,-77.086733,TRUE,1.36447E+12,,FALSE,TRUE,11
213,28th St S & S Meade St,31055,1.36837E+12,38.846222,-77.069275,TRUE,1.36448E+12,,FALSE,TRUE,15
214,18th & Wyoming Ave NW,31114,1.36837E+12,38.918809,-77.041571,TRUE,1.365E+12,,FALSE,TRUE,23
215,5th & Kennedy St NW,31403,1.36837E+12,38.956595,-77.019815,TRUE,1.36578E+12,,FALSE,TRUE,15
216,Georgia Ave & Emerson St NW,31405,1.36837E+12,38.949662,-77.027333,TRUE,1.36578E+12,,FALSE,TRUE,18
217,14th & Upshur St NW,31406,1.36836E+12,38.942016,-77.032652,TRUE,1.36579E+12,,FALSE,TRUE,15
218,14th St & Colorado Ave NW,31407,1.36837E+12,38.956432,-77.032947,TRUE,1.3658E+12,,FALSE,TRUE,19
219,S Troy St & 26th St S,31056,1.36837E+12,38.847977,-77.075104,TRUE,1.36673E+12,,FALSE,TRUE,11
220,S Four Mile Run Dr & S Shirlington Rd,31057,1.36837E+12,38.8444,-77.085931,TRUE,1.36673E+12,,FALSE,TRUE,11
221,S Oakland St & Columbia Pike,31058,1.36837E+12,38.860789,-77.09586,TRUE,1.36674E+12,,FALSE,TRUE,11
222,S Abingdon St & 36th St S,31059,1.36837E+12,38.835148,-77.094404,TRUE,1.36674E+12,,FALSE,TRUE,10
